YEAR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
1998,1.848387097,2.607142857,2.477419355,8.493333333,2.774193548,33.57666667,8.693548387,8.096774194,5.26,6.277419355,0.07,0.712903226
1999,0.277419355,0,0.003225806,2.763333333,7.577419355,17.48333333,30.01290323,16.96774194,9.123333333,5.261290323,0.373333333,0.867741935
2000,0.035483871,0.737931034,0.441935484,1.98,1.832258065,5.673333333,14.80967742,17.63870968,2.266666667,5.135483871,0.64,0.429032258
2001,1.729032258,0.082142857,0.416129032,0.266666667,23.57096774,11.72333333,19.63870968,4.65483871,21.69666667,0,0.163333333,0.238709677
2002,0.961290323,0.253571429,0.216129032,0,7.522580645,4.24,4.425806452,9.558064516,4.693333333,0,0.003333333,2.329032258
2003,1.035483871,0.107142857,0.609677419,2.013333333,0.451612903,17.96,0.75483871,11.22258065,5.713333333,2.264516129,1.88,0
2004,0.116129032,0.255172414,0.096774194,2.526666667,6.522580645,1.776666667,14.56129032,6.232258065,9.983333333,0.061290323,0.043333333,5.116129032
2005,0.019354839,1.567857143,0.577419355,0.173333333,10.04516129,34.5,22.19032258,13.61290323,6.796666667,2.074193548,0.716666667,0.858064516
2006,0.203225806,0,0.390322581,3.153333333,3.503225806,19.03333333,29.17741935,5.161290323,5.43,0.061290323,1.216666667,0.096774194
2007,0.277419355,0.275,0.283870968,0.81,9.506451613,9.286666667,2.490322581,39.78387097,4.236666667,3.009677419,1.826666667,0
2008,0.512903226,0.565517241,0.503225806,1.11,3.509677419,40.03666667,21.15806452,5.296774194,9.846666667,0.861290323,2.44,0.012903226
2009,0,0.028571429,0.983870968,2.463333333,0.480645161,10.44,6.54516129,30.19032258,4.533333333,1.587096774,0.303333333,0.022580645
2010,0.077419355,0.417857143,0.041935484,1.643333333,6.109677419,8.643333333,14.15483871,5.348387097,28.52666667,5.709677419,0.48,0.377419355
2011,0.312903226,0.135714286,0.274193548,0.996666667,3.470967742,13.10666667,17.59032258,11.90967742,2.39,1.829032258,5.856666667,1.364516129
2012,0.019354839,1.120689655,0.290322581,3.78,9.193548387,27.85,1.761290323,24.49032258,1.826666667,0.051612903,1.583333333,0.632258065
2013,0.009677419,0.003571429,0.777419355,3.216666667,11.41935484,2.97,6.064516129,24.83548387,3.163333333,0.748387097,0.573333333,1.6
2014,0,0.603571429,2.177419355,0.913333333,6.467741935,7.903333333,10.00967742,29.18387097,5.79,0,0.05,0.464516129
2015,0.203225806,1.367857143,0,0.243333333,9.751612903,0.346666667,6.509677419,17.73870968,4.706666667,0.851612903,1.37,0.906451613
2016,5.916129032,0.855172414,2.616129032,6.1,3.164516129,12.81666667,10.21612903,13.8516129,36.67666667,8.438709677,1.92,0.048387097
2017,0,0,0.141935484,3.816666667,4.216129032,8.61,9.219354839,6.890322581,,,,
