YEAR,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
2002,12.9,13.8,17,20.3,22.7,24,25.7,24.1,23.8,21.8,16.7,13.4
2003,12.8,13.2,14.5,19.9,23.1,23.8,26.5,24.7,24.4,20.7,15.7,13
2004,8.7,12.5,14.4,17.5,23.3,23.7,22.8,24.2,23.2,21.1,18.3,10.3
2005,8.8,10.8,8.8,19.4,22.8,24.5,23.7,23.6,24.5,20.9,18.2,10.2
2006,11.3,14.4,11.9,18.5,22.7,22.9,23.2,23.6,24.4,22.8,20.5,12.6
2007,9.7,12.2,15.3,15.6,21.5,23.8,26,23.5,24.6,22.3,13.9,13
2008,12,10.4,16.7,19.6,22.5,23.1,24.2,24,24.5,24,14.9,13.4
2009,9.4,17.2,15.6,18.2,21.9,23.1,24.5,25.4,24.9,21.8,18,12.9
2010,11,12.2,12.8,17.6,21.6,23.8,24.4,25.4,23.4,19.2,19,11.4
2011,11.4,11.8,13.9,17.8,21.3,23.6,24.6,25.2,25.2,22.9,20.2,13.7
2012,13.5,12.8,15.5,21.2,23.3,23.9,25.4,24.1,24,21.8,20.2,11.1
2013,12.1,15.8,16.3,17.3,21.9,25.8,24.7,23.4,22.9,20.6,14.8,12.1
2014,11.1,11.4,17,20.5,22.1,25.4,26.2,25.1,25.1,22.5,20.2,13.7
2015,14.4,12.4,17,18.5,24.8,26.3,25.4,24.1,24.9,23.9,17.7,14
2016,7.1,10.2,12.8,21.8,25.1,24.6,25.5,25,24.5,24.2,19.8,16.3
2017,14.8,13.8,17.5,16.6,22.9,25.2,26,25,,,,
