YEAR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
2002,28.7,7,3.5,0,66.7,40.7,27,120.9,31.6,0,0.1,27
2003,24,3,17.7,34.5,8.7,266.1,23,180.3,62.5,48,46.5,0
2004,3.4,7,1.7,59.3,59.6,32,171,35.5,89.6,1.1,1.1,123.1
2005,0.2,21.5,4.5,4,128.5,226.1,242,111.5,156.7,38.1,11,15.8
2006,3.8,0,6.4,33.2,56.4,259,298.7,50,36.3,1.3,32,1.2
2007,6.2,5,6.7,11.5,152.4,42.1,26.3,418,28.5,49,31.6,0
2008,8.2,11.6,15.4,20.5,56.1,393.5,269.2,61.4,86.2,26.6,39,0.4
2009,0,0.5,22.3,18.2,8.1,91.6,92.1,507,72.7,45.3,8.6,0.6
2010,1.1,4.5,1.2,19.6,88.7,62.3,129.2,67.2,426.7,71.5,12.9,11.7
2011,4.6,2.7,6.1,23.6,56.3,181.8,106.5,172.7,40.5,19.1,118.9,24.6
2012,0.3,17.5,6.2,28,75.1,152.6,12.6,155.3,33.1,0.7,39.9,9.5
2013,0.2,0.1,13.3,51.9,183.5,31.2,84.9,293.4,35.3,22.5,14,20.7
2014,0,12.8,66.8,12.1,45.1,103.2,118.5,261.7,109.6,0,1.5,6.1
2015,5,23.5,0,3.6,62.1,8.1,39.1,162.6,77.6,12,39.6,26.3
2016,78.8,20,29.7,49.1,44,139.6,162.2,110.1,262.7,74.1,55,0.8
2017,0,0,2.7,52.4,73.5,77.3,124.4,121.2,,,,
,4.727272727,6.672727273,9.227272727,27.66363636,79.4,158.0272727,132.3181818,186.5727273,,,,
