YEAR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
2005,0.000806452,0.065327381,0.02405914,0.007222222,0.418548387,1.4375,0.924596774,0.567204301,0.283194444,0.086424731,0.029861111,0.035752688
2006,0.008467742,0,0.016263441,0.131388889,0.145967742,0.793055556,1.215725806,0.215053763,0.22625,0.002553763,0.050694444,0.004032258
2007,0.01155914,0.011458333,0.011827957,0.03375,0.396102151,0.386944444,0.103763441,1.65766129,0.176527778,0.125403226,0.076111111,0
2008,0.021370968,0.023563218,0.020967742,0.04625,0.146236559,1.668194444,0.881586022,0.220698925,0.410277778,0.035887097,0.101666667,0.000537634
2009,0,0.001190476,0.040994624,0.102638889,0.020026882,0.435,0.272715054,1.257930108,0.188888889,0.066129032,0.012638889,0.00094086
2010,0.003225806,0.017410714,0.001747312,0.068472222,0.254569892,0.360138889,0.589784946,0.222849462,1.188611111,0.237903226,0.02,0.015725806
2011,0.013037634,0.005654762,0.011424731,0.041527778,0.144623656,0.546111111,0.732930108,0.496236559,0.099583333,0.076209677,0.244027778,0.056854839
2012,0.000806452,0.046695402,0.012096774,0.1575,0.383064516,1.160416667,0.073387097,1.020430108,0.076111111,0.002150538,0.065972222,0.026344086
2013,0.000403226,0.00014881,0.032392473,0.134027778,0.475806452,0.12375,0.252688172,1.034811828,0.131805556,0.031182796,0.023888889,0.066666667
2014,0,0.02514881,0.090725806,0.038055556,0.269489247,0.329305556,0.417069892,1.215994624,0.24125,0,0.002083333,0.019354839
2015,0.008467742,0.056994048,0,0.010138889,0.406317204,0.014444444,0.271236559,0.739112903,0.196111111,0.035483871,0.057083333,0.037768817
2016,0.246505376,0.035632184,0.109005376,0.254166667,0.131854839,0.534027778,0.425672043,0.577150538,1.528194444,0.351612903,0.08,0.002016129
2017,0,0,0.005913978,0.159027778,0.175672043,0.35875,0.384139785,0.287096774,,,,
