"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.1","1018.5","1025.3","2017-01-24 09:30","1009.5","2017-01-08 14:33","21.7","28.5","2017-01-08 12:23","14.7","2017-01-26 06:34","15.8","2.0","350","9.8","300","2017-01-27 12:33","0.0","0.0","0","0.0","2017-01-31 00:00","0.0","2017-01-31 00:00","0.0","2017-01-31 00:00","70","93.5","205.1","434.37","5","6","2017-01-30 13:00","4.5"
"02","1018.5","1018.9","1028.3","2017-02-14 09:07","1009.6","2017-02-05 15:31","21.1","29.8","2017-02-22 12:43","13.8","2017-02-10 01:30","14.7","2.2","360","11.8","20","2017-02-09 05:46","0.0","0.0","0","0.0","2017-02-28 00:00","0.0","2017-02-28 00:00","0.0","2017-02-28 00:00","67","84.4","166.1","423.23","5","7","2017-02-26 13:00","5.4"
"03","1015.3","1015.7","1023.2","2017-03-27 10:40","1008.9","2017-03-13 14:39","23.5","33.0","2017-03-23 13:25","17.5","2017-03-03 03:36","17.4","2.1","360","12.2","350","2017-03-31 23:45","3.5","8.1","3","0.5","2017-03-16 00:10","2.0","2017-03-16 03:28","2.5","2017-03-16 00:00","69","115.2","200.5","520.30","6","9","2017-03-22 12:00","5.5"
"04","1012.7","1013.1","1022.3","2017-04-03 09:42","1006.6","2017-04-10 16:19","25.6","32.7","2017-04-16 13:12","16.6","2017-04-01 04:31","19.8","1.9","190","16.2","350","2017-04-01 01:15","113.5","27.7","6","10.0","2017-04-12 05:28","30.5","2017-04-12 05:08","52.0","2017-04-12 00:00","71","142.3","209.1","576.38","8","10","2017-04-20 13:00","5.7"
"05","1009.8","1010.2","1016.1","2017-05-06 08:27","1003.7","2017-05-31 17:53","28.2","33.5","2017-05-12 13:04","22.8","2017-05-01 04:28","23.1","2.0","320","10.6","170","2017-05-12 06:59","129.0","34.0","8","14.5","2017-05-25 19:50","34.5","2017-05-25 19:37","73.5","2017-05-25 00:00","74","131.7","209.6","616.58","9","13","2017-05-31 13:00","6.1"
"06","1008.4","1008.7","1011.9","2017-06-07 22:45","1003.3","2017-06-01 17:37","29.7","34.3","2017-06-12 14:13","24.9","2017-06-29 16:58","25.2","2.1","170","25.6","60","2017-06-29 16:51","256.0","41.3","14","28.5","2017-06-29 16:47","60.5","2017-06-29 16:30","77.0","2017-06-04 00:00","77","156.2","226.8","606.37","11","14","2017-06-05 12:00","6.5"
"07","1007.8","1008.1","1013.8","2017-07-07 22:17","985.5","2017-07-30 16:54","30.4","35.6","2017-07-04 13:18","24.3","2017-07-31 05:15","24.6","2.6","60","24.8","240","2017-07-31 05:13","285.0","30.9","7","17.0","2017-07-31 05:12","56.5","2017-07-30 23:00","124.0","2017-07-31 00:00","71","176.6","241.9","650.55","10","13","2017-07-04 13:00","6.2"
"08","1007.1","1007.4","1013.7","2017-08-27 22:17","994.2","2017-08-22 02:30","30.1","34.7","2017-08-19 11:24","24.9","2017-08-02 06:04","25.1","2.1","320","18.6","150","2017-08-22 14:03","211.0","36.5","13","12.5","2017-08-02 01:33","51.5","2017-08-02 02:09","120.5","2017-08-02 00:00","75","152.7","222.0","590.49","9","12","2017-08-10 13:00","5.3"
"09","1009.0","1009.3","1014.7","2017-09-29 21:40","1001.0","2017-09-01 05:21","30.2","35.1","2017-09-24 13:28","25.3","2017-09-01 07:16","25.0","2.2","310","12.9","140","2017-09-06 15:24","32.5","22.0","8","4.0","2017-09-07 04:51","5.5","2017-09-07 04:45","16.0","2017-09-01 00:00","74","138.6","235.9","571.17","8","11","2017-09-24 13:00","4.7"
"10","1010.5","1010.9","1019.3","2017-10-30 08:30","999.6","2017-10-14 04:22","28.0","34.5","2017-10-09 11:01","21.3","2017-10-31 05:48","22.6","2.0","290","11.1","350","2017-10-21 11:29","82.5","31.0","7","4.5","2017-10-15 01:00","20.0","2017-10-15 00:56","31.0","2017-10-14 00:00","73","118.4","213.2","488.75","7","10","2017-10-06 13:00","4.8"
"11","1014.4","1014.8","1021.1","2017-11-24 09:18","1008.0","2017-11-18 13:46","25.5","32.1","2017-11-18 11:58","19.6","2017-11-25 05:59","20.4","2.0","360","10.3","360","2017-11-18 10:25","11.0","11.5","4","3.0","2017-11-12 00:29","6.0","2017-11-12 00:18","7.0","2017-11-12 00:00","74","94.6","164.6","379.91","6","8","2017-11-08 12:00","4.9"
"12","1017.6","1018.0","1024.8","2017-12-20 09:40","1011.7","2017-12-03 15:18","21.4","29.4","2017-12-03 13:03","15.5","2017-12-09 02:44","15.4","2.4","350","11.8","350","2017-12-24 12:41","0.5","0.8","1","0.5","2017-12-20 03:05","0.5","2017-12-20 02:40","0.5","2017-12-20 00:00","69","84.1","142.5","338.46","5","6","2017-12-13 13:00","6.3"
