YEAR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
2005,2.9,33.5,48.5,26.9,39.1,248.9,232.3,75.3,201.5,64.7,9.6,5.5
2006,24.6,1,6.8,77.9,109.1,174.2,147.3,49,54.6,4,26,3.1
2007,12.1,13.7,7.8,20.7,102.2,95.2,39.2,199.1,42.7,90.3,7.7,0.4
2008,27,5.8,22.6,8.6,12.7,188.7,118.3,28.7,113.8,33.2,30.7,1
2009,0,5.8,20.2,36.6,5.5,95.6,50.7,523.5,20.2,16.2,3.1,1.5
2010,6.3,14.4,0.3,20.7,72.7,97.9,121.2,63,160.2,38.3,32.6,14.6
2011,2.6,5.5,2.3,23,28.7,166,78,82.3,3.7,22,119.6,3.2
2012,2.1,14.2,6.2,76.5,210.2,169.6,61.2,88.5,12.5,2.7,80.6,8.3
2013,3.2,1.5,2.5,67.6,96.5,115.1,48.6,214.1,43.6,0,4.6,9.6
2014,0,3.8,27.8,8.5,39.6,34.5,56.7,255.2,38.1,1.5,0.2,6.8
2015,13.7,14.1,3.5,11.8,63.2,12.1,67,151.5,70.6,13.5,4.5,10.1
2016,102.3,22.2,39.2,47.6,29.5,137.2,155.1,22.9,266.6,25.7,43.5,2.4
2017,0,0.8,11.9,31,46.6,60.2,261.7,118.7,,,,
