YEAR,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
2005,18.61384409,20.52455357,20.53091398,26.00958333,28.33400538,27.85777778,29.25080645,28.75698925,28.75375,27.32365591,25.06652778,19.39583333
2006,20.35819892,21.48616071,22.66075269,26.30736111,28.17258065,28.63458333,28.9797043,29.09516129,27.93625,27.38615591,25.495,21.40793011
2007,19.66478495,22.08050595,23.49677419,24.97166667,27.68629032,28.88361111,30.18884409,28.04784946,28.14263889,26.82258065,23.41875,21.80497312
2008,20.48212366,17.78850575,23.06169355,26.30861111,27.56989247,27.99027778,28.69354839,28.74086022,28.27111111,27.82647849,23.89763889,20.76626344
2009,18.3516129,23.41979167,23.12177419,24.77777778,27.24502688,28.51638889,29.18857527,29.1858871,29.40569444,26.81760753,23.90180556,20.2483871
2010,19.86841398,21.5391369,23.71061828,24.89736111,27.8297043,28.33194444,29.50268817,29.36008065,28.31361111,27.00645161,23.70472222,20.89771505
2011,17.50215054,20.12217262,21.39932796,24.60472222,27.14852151,29.3025,28.70268817,29.49744624,28.73361111,26.97002688,25.16291667,20.04932796
2012,19.2969086,20.06896552,23.61626344,26.58125,28.01908602,28.53041667,29.48467742,28.12513441,28.67097222,26.58857527,24.88152778,21.12620968
2013,19.64475806,22.28675595,23.84946237,25.11430556,27.55860215,29.81569444,29.69112903,29.01465054,28.58986111,26.62755376,24.27222222,19.9155914
2014,19.4577957,20.25342262,22.6375,25.85638889,27.82459677,29.22583333,30.33293011,29.07150538,29.5075,27.19637097,25.24916667,20.22016129
2015,19.93145161,20.82276786,23.63776882,26.19458333,28.34475806,30.56986111,29.5047043,28.8141129,28.83847222,27.7063172,26.16208333,22.42231183
2016,19.34475806,19.60158046,21.59731183,26.95180556,28.91680108,29.74097222,30.2233871,29.43413978,28.44319444,28.3672043,25.71444444,22.925
2017,21.66263441,21.09732143,23.47405914,25.575,28.21384409,29.70541667,30.44677419,30.12849462,,,,
