YEAR,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
2005,13.3,15.1,10.7,20.3,21.7,23,22.8,23.6,22.7,21.8,18.2,14.9
2006,15.6,16.9,16.5,20.8,23,23.1,24.1,23.8,24.1,22.7,20.8,15.6
2007,15.1,17,18.6,18,22.7,23.7,24.9,23.7,24.3,22.5,18.7,17
2008,16.2,15,18.1,20,21.6,23.5,23.2,24.1,24.3,22.2,18.3,14.4
2009,15.3,18.4,17.7,19,21.8,22.6,24.4,24.8,24.5,22.6,19.9,15.6
2010,15.7,15.8,15.4,19.2,22.5,23.2,24.3,23,23.9,18.9,18.7,14.4
2011,14.4,14.3,16.2,18.3,21.8,23.5,24.2,23.7,23.1,23.2,18.8,16.5
2012,16.2,16.1,17.4,20.3,23.2,24.3,24.3,23.3,24.3,21.9,20.4,15.8
2013,15.6,18,16.6,19.3,20.3,24,23.5,23.7,23.4,20.6,17.5,15.6
2014,15.7,15.8,17,20.6,22.4,24.9,25.5,24.3,24.6,22.8,21.6,16.3
2015,17.2,12.9,18,17.3,23.4,25.8,23.9,24.3,24.2,22.4,18.8,16.9
2016,11.5,15.1,16.8,21,23.9,24.4,26.4,24.8,25,24.2,20.8,18.7
2017,18.3,15.8,17,18.2,21.9,25.8,24.6,25.6,,,,
